service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
106-1,1,1,1,1,1,0,0,20160605,20160820,Weekday
106-4,0,0,0,0,0,1,0,20160605,20160820,Saturday
106-5,0,0,0,0,0,0,1,20160605,20160820,Sunday
106-13301,0,0,0,0,0,0,0,20160605,20160820,Rail Weekday
106-13401,0,0,0,0,0,0,0,20160605,20160820,Rail Friday Night
106-14001,0,0,0,0,0,0,0,20160605,20160820,Thursday Only
106-14101,0,0,0,0,0,0,0,20160605,20160820,Wednesday Only
106-14201,0,0,0,0,0,0,0,20160605,20160820,Monday Only
106-15504,0,0,0,0,0,0,0,20160605,20160820,Saturday Rail
106-21005,0,0,0,0,0,0,0,20160605,20160820,UT Sunday Service
106-2201,0,0,0,0,0,0,0,20160605,20160820,Friday Only
106-23804,0,0,0,0,0,0,0,20160605,20160820,Regular Saturday
106-3104,0,0,0,0,0,0,0,20160605,20160820,First Thursday of the Month
106-4801,0,0,0,0,0,0,0,20160605,20160820,UT Registration
106-5001,0,0,0,0,0,0,0,20160605,20160820,UT Summer Weekday
106-5004,0,0,0,0,0,0,0,20160605,20160820,UT Summer Weekday
